,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
146,JHGHYC2 LX EQUITY,RENTA FIJA,RENTA FIJA,Global,JANUS HENDERSON HORIZON GLOBAL HIGH YIELD BOND FUND,HY
147,JPGHYBC LX EQUITY,RENTA FIJA,RENTA FIJA,Global,JPMORGAN INVESTMENT FUNDS GLOBAL HIGH YIELD BOND,HY
148,JPMGBOA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,JPMORGAN GLOBAL BOND OPPORTUNITIES FUND CLASS A,General
149,LGGHYIA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,LEGAL & GENERAL SICAV L&G GLOBAL HIGH YIELD BOND FUND,HY
150,MAHYIHU ID EQUITY,RENTA FIJA,RENTA FIJA,Global,MAN FUNDS VI PLC MAN GLG HIGH YIELD OPPORTUNITIES,HY
151,MAIGOIU ID EQUITY,RENTA FIJA,RENTA FIJA,Global,MAN FUNDS PLC MAN GLG GLOBAL INVESTMENT GRADE OPPORTUNITIES,IG
152,MSGFINZ LX EQUITY,RENTA FIJA,RENTA FIJA,Global,MORGAN STANLEY INVESTMENT FUNDS GLOBAL FIXED INCOME OPPORTUNITIES FUND,General
153,MUZEUHR ID EQUITY,RENTA FIJA,RENTA FIJA,Global,MUZINICH FD - ENHANCED YIELD SHORT,General
154,NBCIUIA ID EQUITY,RENTA FIJA,RENTA FIJA,Global,NEUBERGER BERMAN INVESTMENT FUNDS PLC NEUBERGER BERMAN CLO INCOME FUND,General
155,OTGLCFU LX EQUITY,RENTA FIJA,RENTA FIJA,Global,OAKTREE LUX III OAKTREE GLOBAL CREDIT FUND,General
156,PIMGIAD ID EQUITY,RENTA FIJA,RENTA FIJA,Global,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC GLOBAL INVESTMENT GRADE CREDIT FUND,IG
157,PIMINEA ID EQUITY,RENTA FIJA,RENTA FIJA,Global,PIMCO GIS INCOME FUND CLASS E,General
158,PIMINIA ID EQUITY,RENTA FIJA,RENTA FIJA,Global,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC INCOME FUND,General
159,RGHYBID LX EQUITY,RENTA FIJA,RENTA FIJA,Global,ROBECO CAPITAL GROWTH FUNDS ROBECO HIGH YIELD BONDS,HY
160,VO24HGH LX EQUITY,RENTA FIJA,RENTA FIJA,Global,VONTOBEL FUND TWENTYFOUR STRATEGIC INCOME FUND,General
161,VOTSUH1 LX EQUITY,RENTA FIJA,RENTA FIJA,Global,VONTOBEL FUND-TWENTYFOYR STRAT,General
162,PMMUSDI SW EQUITY,MONEY MARKET,MONEY MARKET,Global,Money Market,General
163,CFI-MBPDUA,ALTERNATIVE,ALTERNATIVE,Global,BARINGS PRIVATE CREDIT CORP,General
164,FDHREDX CI EQUITY,ALTERNATIVE,ALTERNATIVE,Global,HMC RENDIMIENTO ESTRATEGICO DÓLAR,General
165,CFI-BTGHLB,ALTERNATIVE,ALTERNATIVE,Global,BTG PACL HAX LAN GPA FDI-A,General
166,SCASIUI LX EQUITY,ALTERNATIVE,ALTERNATIVE,Global,SCHRO ISF- AL SE I-I USD ACC,General
167,SCSPECU LX EQUITY,ALTERNATIVE,ALTERNATIVE,Global,SCHRODR C S-L GL PE-CUSDA,General
168,BREITII US EQUITY,ALTERNATIVE,ALTERNATIVE,Global,BLACKSTONE REIT-I,General
169,FEINIUS LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BNP PARIBAS FUNDS INDIA EQUITY,India
170,BOTZ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,GLOBAL X ROBOTICS & ARTIFICI,Sector
171,ESJCOMR LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,EST INV JP SM COM FN-RUUNHD,General
172,EWJ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,ISHARES MSCI Japan ETF,General
173,EWJV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,ISHARES MSCI Japan VALUE ETF,General
174,MJFOX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,MATTHEWS Japan FUND-INV,General
175,VAGBIIP ID EQUITY,RENTA FIJA,RENTA FIJA,Japan,VANGUARD Japan GOV BD USDH ACC I,General
176,AACCHIA CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ARRAYAN ACCIONES CHILENAS FONDO DE INVERSION,Chile
177,ALBPLNU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ALLSOLUTIONS ALL BTG PACTUAL LATIN AMERICA EQUITY,General
